@RELATION fundus

@ATTRIBUTE RED_AVG2 REAL
@ATTRIBUTE class {g,h,r}

@DATA
0.0119805482,r
0.0059509203,g
0.0038378211,h
0.0157130151,g
0.0093599547,r
0.0012584138,r
0.0068235643,r
0.0079940565,h
0.0017416769,h
0.0059738643,g
0.0039077213,g
0.0087887740,h
0.0060183767,h
0.0036681716,r
0.0126088262,g
0.0076008123,g
0.0103216740,g
0.0086768220,r
0.0000000000,r
0.0001822600,r
0.0085998793,h
0.0064345992,h
0.0094602523,h
0.0006186205,h
0.0091134442,g
0.0083745275,r
0.0063071029,g
0.0000447361,r
0.0075044669,h
0.0060791706,r
0.0103679907,r
0.0102012809,h
0.0180735604,g
0.0058733558,g
0.0062832643,r
0.0000000000,r
0.0060144709,h
0.0067986994,r
0.0098335855,g
0.0029929034,g
0.0050398724,g
0.0033004318,h
0.0137361071,h
0.0116702686,g
0.0065909091,h
