@RELATION fundus

@ATTRIBUTE RED_MAX1 REAL
@ATTRIBUTE class {h,¬h}

@DATA
0.0061892131,¬h
0.0285276074,¬h
0.0105230579,h
0.0154165431,¬h
0.0090625885,¬h
0.0204858063,¬h
0.0245707519,¬h
0.0112927192,h
0.0215782984,h
0.0074673304,¬h
0.0069052103,¬h
0.0106351551,h
0.0101071975,h
0.0050790068,¬h
0.0096067247,¬h
0.0156657963,¬h
0.0159275453,¬h
0.0089605735,¬h
0.0306864916,¬h
0.0306804374,¬h
0.0105612553,h
0.0093429777,h
0.0105602816,h
0.0204144757,h
0.0093321668,¬h
0.0151206746,¬h
0.0070733864,¬h
0.0265433940,¬h
0.0125074449,h
0.0329877474,¬h
0.0221962617,¬h
0.0213479719,h
0.0117576123,¬h
0.0052003671,¬h
0.0062093436,¬h
0.0214631197,¬h
0.0081398854,h
0.0088678688,¬h
0.0114977307,¬h
0.0077136686,¬h
0.0041467305,¬h
0.0219000617,h
0.0102593331,h
0.0169805496,¬h
0.0124242424,h
