Value	R           	G           	B           	
1    	0.2462109496	0.3337544214	0.0661029977	
2    	0.0445406743	0.0896917635	0.0553420446	
3    	0.0077327560	0.0050530571	0.0084550346	
4    	0.0003093102	0.0000000000	0.0023059185	
5    	0.0003093102	0.0000000000	0.0000000000	
6    	0.0000000000	0.0002526529	0.0003843198	
7    	0.0000000000	0.0002526529	0.0003843198	
8    	0.0006186205	0.0000000000	0.0003843198	
9    	0.0000000000	0.0000000000	0.0000000000	
10   	0.0000000000	0.0002526529	0.0000000000	
11   	0.0000000000	0.0002526529	0.0000000000	
12   	0.0003093102	0.0000000000	0.0003843198	
13   	0.0000000000	0.0000000000	0.0011529593	
14   	0.0000000000	0.0000000000	0.0019215988	
15   	0.0000000000	0.0002526529	0.0088393543	
16   	0.0000000000	0.0002526529	0.0265180630	
17   	0.0000000000	0.0000000000	0.0392006149	
18   	0.0003093102	0.0002526529	0.0345887779	
19   	0.0000000000	0.0020212228	0.0353574174	
20   	0.0003093102	0.0022738757	0.0284396618	
21   	0.0000000000	0.0005053057	0.0238278248	
22   	0.0000000000	0.0005053057	0.0222905457	
23   	0.0000000000	0.0020212228	0.0245964643	
24   	0.0000000000	0.0012632643	0.0461183705	
25   	0.0000000000	0.0053057100	0.0507302075	
26   	0.0000000000	0.0126326427	0.0549577248	
27   	0.0003093102	0.0171803941	0.0488086088	
28   	0.0000000000	0.0240020212	0.0430438125	
29   	0.0000000000	0.0224861041	0.0480399693	
30   	0.0000000000	0.0149065184	0.0403535742	
31   	0.0000000000	0.0108640728	0.0480399693	
32   	0.0000000000	0.0161697827	0.0468870100	
33   	0.0000000000	0.0138959070	0.0557263643	
34   	0.0003093102	0.0149065184	0.0626441199	
35   	0.0000000000	0.0184436584	0.0395849347	
36   	0.0000000000	0.0161697827	0.0153727902	
37   	0.0000000000	0.0186963113	0.0103766334	
38   	0.0000000000	0.0186963113	0.0042275173	
39   	0.0000000000	0.0197069227	0.0034588778	
40   	0.0000000000	0.0194542698	0.0007686395	
41   	0.0003093102	0.0169277413	0.0000000000	
42   	0.0000000000	0.0224861041	0.0000000000	
43   	0.0000000000	0.0275391612	0.0000000000	
44   	0.0000000000	0.0250126326	0.0000000000	
45   	0.0000000000	0.0222334512	0.0000000000	
46   	0.0000000000	0.0212228398	0.0000000000	
47   	0.0000000000	0.0222334512	0.0000000000	
48   	0.0000000000	0.0229914098	0.0000000000	
49   	0.0000000000	0.0237493684	0.0000000000	
50   	0.0000000000	0.0197069227	0.0000000000	
51   	0.0000000000	0.0166750884	0.0000000000	
52   	0.0000000000	0.0133906013	0.0000000000	
53   	0.0003093102	0.0101061142	0.0000000000	
54   	0.0003093102	0.0073269328	0.0000000000	
55   	0.0000000000	0.0096008085	0.0000000000	
56   	0.0000000000	0.0090955028	0.0000000000	
57   	0.0000000000	0.0042950985	0.0000000000	
58   	0.0000000000	0.0012632643	0.0000000000	
59   	0.0000000000	0.0007579586	0.0000000000	
60   	0.0000000000	0.0007579586	0.0000000000	
61   	0.0000000000	0.0000000000	0.0000000000	
62   	0.0000000000	0.0000000000	0.0000000000	
63   	0.0000000000	0.0000000000	0.0000000000	
64   	0.0000000000	0.0000000000	0.0000000000	
65   	0.0000000000	0.0000000000	0.0000000000	
66   	0.0000000000	0.0000000000	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0003093102	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0003093102	0.0000000000	0.0000000000	
74   	0.0000000000	0.0000000000	0.0000000000	
75   	0.0000000000	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0000000000	0.0000000000	0.0000000000	
78   	0.0000000000	0.0000000000	0.0000000000	
79   	0.0003093102	0.0000000000	0.0000000000	
80   	0.0000000000	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0000000000	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0000000000	0.0000000000	0.0000000000	
87   	0.0000000000	0.0000000000	0.0000000000	
88   	0.0000000000	0.0000000000	0.0000000000	
89   	0.0000000000	0.0000000000	0.0000000000	
90   	0.0000000000	0.0000000000	0.0000000000	
91   	0.0000000000	0.0000000000	0.0000000000	
92   	0.0003093102	0.0000000000	0.0000000000	
93   	0.0000000000	0.0000000000	0.0000000000	
94   	0.0000000000	0.0000000000	0.0000000000	
95   	0.0003093102	0.0000000000	0.0000000000	
96   	0.0003093102	0.0000000000	0.0000000000	
97   	0.0003093102	0.0000000000	0.0000000000	
98   	0.0000000000	0.0000000000	0.0000000000	
99   	0.0000000000	0.0000000000	0.0000000000	
100  	0.0018558614	0.0000000000	0.0000000000	
101  	0.0021651717	0.0000000000	0.0000000000	
102  	0.0006186205	0.0000000000	0.0000000000	
103  	0.0024744819	0.0000000000	0.0000000000	
104  	0.0024744819	0.0000000000	0.0000000000	
105  	0.0018558614	0.0000000000	0.0000000000	
106  	0.0030931024	0.0000000000	0.0000000000	
107  	0.0027837921	0.0000000000	0.0000000000	
108  	0.0027837921	0.0000000000	0.0000000000	
109  	0.0034024126	0.0000000000	0.0000000000	
110  	0.0027837921	0.0000000000	0.0000000000	
111  	0.0027837921	0.0000000000	0.0000000000	
112  	0.0012372410	0.0000000000	0.0000000000	
113  	0.0034024126	0.0000000000	0.0000000000	
114  	0.0015465512	0.0000000000	0.0000000000	
115  	0.0034024126	0.0000000000	0.0000000000	
116  	0.0030931024	0.0000000000	0.0000000000	
117  	0.0040210331	0.0000000000	0.0000000000	
118  	0.0021651717	0.0000000000	0.0000000000	
119  	0.0030931024	0.0000000000	0.0000000000	
120  	0.0077327560	0.0000000000	0.0000000000	
121  	0.0034024126	0.0000000000	0.0000000000	
122  	0.0021651717	0.0000000000	0.0000000000	
123  	0.0037117229	0.0000000000	0.0000000000	
124  	0.0089699969	0.0000000000	0.0000000000	
125  	0.0058768945	0.0000000000	0.0000000000	
126  	0.0052582740	0.0000000000	0.0000000000	
127  	0.0034024126	0.0000000000	0.0000000000	
128  	0.0024744819	0.0000000000	0.0000000000	
