Value	R           	G           	B           	
1    	0.2743442870	0.3349127182	0.0701078582	
2    	0.0322580645	0.0877805486	0.0469953775	
3    	0.0021103407	0.0089775561	0.0042372881	
4    	0.0018088634	0.0000000000	0.0007704160	
5    	0.0003014772	0.0004987531	0.0003852080	
6    	0.0003014772	0.0000000000	0.0011556240	
7    	0.0003014772	0.0000000000	0.0007704160	
8    	0.0003014772	0.0000000000	0.0003852080	
9    	0.0003014772	0.0000000000	0.0000000000	
10   	0.0003014772	0.0000000000	0.0007704160	
11   	0.0000000000	0.0002493766	0.0092449923	
12   	0.0000000000	0.0000000000	0.0084745763	
13   	0.0000000000	0.0000000000	0.0246533128	
14   	0.0000000000	0.0002493766	0.0369799692	
15   	0.0000000000	0.0000000000	0.0458397535	
16   	0.0000000000	0.0002493766	0.0504622496	
17   	0.0000000000	0.0000000000	0.0439137134	
18   	0.0000000000	0.0000000000	0.0458397535	
19   	0.0000000000	0.0000000000	0.0454545455	
20   	0.0003014772	0.0000000000	0.0439137134	
21   	0.0000000000	0.0004987531	0.0350539291	
22   	0.0003014772	0.0017456359	0.0431432974	
23   	0.0000000000	0.0019950125	0.0493066256	
24   	0.0000000000	0.0007481297	0.0627889060	
25   	0.0000000000	0.0022443890	0.0604776579	
26   	0.0000000000	0.0027431421	0.0624036980	
27   	0.0000000000	0.0042394015	0.0658705701	
28   	0.0000000000	0.0062344140	0.0570107858	
29   	0.0000000000	0.0069825436	0.0362095532	
30   	0.0000000000	0.0104738155	0.0250385208	
31   	0.0000000000	0.0099750623	0.0100154083	
32   	0.0000000000	0.0084788030	0.0069337442	
33   	0.0000000000	0.0094763092	0.0038520801	
34   	0.0003014772	0.0094763092	0.0011556240	
35   	0.0000000000	0.0062344140	0.0000000000	
36   	0.0000000000	0.0069825436	0.0000000000	
37   	0.0000000000	0.0097256858	0.0000000000	
38   	0.0000000000	0.0082294264	0.0000000000	
39   	0.0000000000	0.0062344140	0.0000000000	
40   	0.0000000000	0.0072319202	0.0000000000	
41   	0.0000000000	0.0077306733	0.0000000000	
42   	0.0000000000	0.0092269327	0.0000000000	
43   	0.0000000000	0.0124688279	0.0000000000	
44   	0.0000000000	0.0097256858	0.0000000000	
45   	0.0000000000	0.0097256858	0.0000000000	
46   	0.0003014772	0.0119700748	0.0000000000	
47   	0.0000000000	0.0114713217	0.0000000000	
48   	0.0003014772	0.0132169576	0.0000000000	
49   	0.0000000000	0.0089775561	0.0000000000	
50   	0.0000000000	0.0084788030	0.0000000000	
51   	0.0000000000	0.0129675810	0.0000000000	
52   	0.0000000000	0.0132169576	0.0000000000	
