Value	R           	G           	B           	
1    	0.2293464858	0.3546654733	0.0413385827	
2    	0.0564118372	0.1253076751	0.0559055118	
3    	0.0073982737	0.0098456030	0.0055118110	
4    	0.0021578298	0.0000000000	0.0003937008	
5    	0.0009247842	0.0000000000	0.0007874016	
6    	0.0003082614	0.0002237637	0.0000000000	
7    	0.0000000000	0.0000000000	0.0000000000	
8    	0.0000000000	0.0002237637	0.0000000000	
9    	0.0000000000	0.0000000000	0.0003937008	
10   	0.0000000000	0.0000000000	0.0000000000	
11   	0.0000000000	0.0000000000	0.0011811024	
12   	0.0000000000	0.0000000000	0.0055118110	
13   	0.0000000000	0.0002237637	0.0145669291	
14   	0.0000000000	0.0006712911	0.0181102362	
15   	0.0003082614	0.0022376371	0.0196850394	
16   	0.0003082614	0.0022376371	0.0259842520	
17   	0.0000000000	0.0008950548	0.0318897638	
18   	0.0000000000	0.0004475274	0.0480314961	
19   	0.0000000000	0.0004475274	0.0342519685	
20   	0.0000000000	0.0002237637	0.0346456693	
21   	0.0000000000	0.0004475274	0.0476377953	
22   	0.0000000000	0.0015663459	0.0496062992	
23   	0.0000000000	0.0042515104	0.0531496063	
24   	0.0000000000	0.0058178563	0.0500000000	
25   	0.0000000000	0.0085030208	0.0551181102	
26   	0.0000000000	0.0053703289	0.0559055118	
27   	0.0000000000	0.0078317297	0.0480314961	
28   	0.0003082614	0.0073842023	0.0507874016	
29   	0.0000000000	0.0087267845	0.0559055118	
30   	0.0003082614	0.0105168942	0.0429133858	
31   	0.0000000000	0.0044752741	0.0484251969	
32   	0.0000000000	0.0049228015	0.0433070866	
33   	0.0000000000	0.0042515104	0.0322834646	
34   	0.0000000000	0.0067129112	0.0122047244	
35   	0.0000000000	0.0098456030	0.0086614173	
36   	0.0000000000	0.0105168942	0.0043307087	
37   	0.0000000000	0.0089505482	0.0019685039	
38   	0.0000000000	0.0138733497	0.0011811024	
39   	0.0000000000	0.0136495860	0.0000000000	
40   	0.0000000000	0.0116357127	0.0000000000	
41   	0.0000000000	0.0145446409	0.0000000000	
42   	0.0003082614	0.0246140076	0.0000000000	
43   	0.0000000000	0.0223763706	0.0000000000	
44   	0.0000000000	0.0167822779	0.0000000000	
