Value	R           	G           	B           	
1    	0.2576341536	0.3591448931	0.0826070481	
2    	0.0536614290	0.0909738717	0.0488821523	
3    	0.0112659354	0.0076009501	0.0041682455	
4    	0.0005929440	0.0004750594	0.0003789314	
5    	0.0002964720	0.0000000000	0.0011367942	
6    	0.0000000000	0.0000000000	0.0000000000	
7    	0.0000000000	0.0002375297	0.0000000000	
8    	0.0005929440	0.0002375297	0.0000000000	
9    	0.0000000000	0.0002375297	0.0003789314	
10   	0.0000000000	0.0000000000	0.0000000000	
11   	0.0000000000	0.0000000000	0.0000000000	
12   	0.0000000000	0.0000000000	0.0000000000	
13   	0.0000000000	0.0002375297	0.0003789314	
14   	0.0002964720	0.0000000000	0.0000000000	
15   	0.0002964720	0.0000000000	0.0000000000	
16   	0.0000000000	0.0000000000	0.0003789314	
17   	0.0000000000	0.0002375297	0.0000000000	
18   	0.0000000000	0.0000000000	0.0000000000	
19   	0.0000000000	0.0000000000	0.0003789314	
20   	0.0000000000	0.0002375297	0.0011367942	
21   	0.0000000000	0.0000000000	0.0030314513	
22   	0.0000000000	0.0000000000	0.0079575597	
23   	0.0000000000	0.0000000000	0.0174308450	
24   	0.0000000000	0.0002375297	0.0303145131	
25   	0.0000000000	0.0000000000	0.0250094733	
26   	0.0002964720	0.0000000000	0.0181887078	
27   	0.0000000000	0.0009501188	0.0200833649	
28   	0.0002964720	0.0007125891	0.0238726790	
29   	0.0000000000	0.0026128266	0.0242516105	
30   	0.0000000000	0.0021377672	0.0363774157	
31   	0.0000000000	0.0007125891	0.0469874953	
32   	0.0000000000	0.0054631829	0.0810913225	
33   	0.0000000000	0.0054631829	0.1011746874	
34   	0.0000000000	0.0028503563	0.1125426298	
35   	0.0000000000	0.0033254157	0.0943539219	
36   	0.0000000000	0.0035629454	0.0867752937	
37   	0.0000000000	0.0071258907	0.0640394089	
38   	0.0000000000	0.0083135392	0.0363774157	
39   	0.0000000000	0.0083135392	0.0185676393	
40   	0.0000000000	0.0059382423	0.0083364911	
41   	0.0000000000	0.0109263658	0.0026525199	
42   	0.0002964720	0.0064133017	0.0000000000	
43   	0.0000000000	0.0047505938	0.0003789314	
44   	0.0000000000	0.0073634204	0.0000000000	
45   	0.0000000000	0.0116389549	0.0000000000	
46   	0.0000000000	0.0175771971	0.0000000000	
47   	0.0000000000	0.0311163895	0.0000000000	
48   	0.0000000000	0.0349168646	0.0000000000	
49   	0.0000000000	0.0370546318	0.0000000000	
50   	0.0000000000	0.0289786223	0.0000000000	
51   	0.0000000000	0.0318289786	0.0000000000	
52   	0.0000000000	0.0318289786	0.0000000000	
53   	0.0000000000	0.0415676960	0.0000000000	
54   	0.0002964720	0.0446555819	0.0000000000	
55   	0.0000000000	0.0320665083	0.0000000000	
56   	0.0000000000	0.0254156770	0.0000000000	
57   	0.0000000000	0.0242280285	0.0000000000	
58   	0.0000000000	0.0218527316	0.0000000000	
59   	0.0000000000	0.0128266033	0.0000000000	
60   	0.0000000000	0.0114014252	0.0000000000	
61   	0.0002964720	0.0073634204	0.0000000000	
62   	0.0000000000	0.0019002375	0.0000000000	
63   	0.0000000000	0.0021377672	0.0000000000	
64   	0.0000000000	0.0009501188	0.0000000000	
65   	0.0000000000	0.0014251781	0.0000000000	
66   	0.0000000000	0.0002375297	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0000000000	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0000000000	0.0000000000	0.0000000000	
74   	0.0002964720	0.0000000000	0.0000000000	
75   	0.0000000000	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0002964720	0.0000000000	0.0000000000	
78   	0.0000000000	0.0000000000	0.0000000000	
79   	0.0000000000	0.0000000000	0.0000000000	
80   	0.0000000000	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0000000000	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0002964720	0.0000000000	0.0000000000	
87   	0.0000000000	0.0000000000	0.0000000000	
88   	0.0000000000	0.0000000000	0.0000000000	
