Value	R           	G           	B           	
1    	0.2828850133	0.3310017487	0.0852742299	
2    	0.0381318356	0.0926804896	0.0507137491	
3    	0.0029559563	0.0064951287	0.0067618332	
4    	0.0008867869	0.0002498126	0.0018782870	
5    	0.0002955956	0.0004996253	0.0000000000	
6    	0.0000000000	0.0002498126	0.0003756574	
7    	0.0000000000	0.0000000000	0.0000000000	
8    	0.0000000000	0.0000000000	0.0003756574	
9    	0.0002955956	0.0002498126	0.0000000000	
10   	0.0002955956	0.0000000000	0.0003756574	
11   	0.0000000000	0.0000000000	0.0000000000	
12   	0.0000000000	0.0000000000	0.0007513148	
13   	0.0000000000	0.0002498126	0.0022539444	
14   	0.0000000000	0.0000000000	0.0015026296	
15   	0.0002955956	0.0000000000	0.0071374906	
16   	0.0000000000	0.0002498126	0.0112697220	
17   	0.0000000000	0.0000000000	0.0161532682	
18   	0.0000000000	0.0000000000	0.0127723516	
19   	0.0000000000	0.0002498126	0.0131480090	
20   	0.0000000000	0.0002498126	0.0187828700	
21   	0.0000000000	0.0000000000	0.0289256198	
22   	0.0000000000	0.0002498126	0.0308039068	
23   	0.0000000000	0.0002498126	0.0349361382	
24   	0.0002955956	0.0002498126	0.0356874530	
25   	0.0000000000	0.0009992506	0.0311795642	
26   	0.0000000000	0.0017486885	0.0296769346	
27   	0.0000000000	0.0024981264	0.0323065364	
28   	0.0002955956	0.0032475643	0.0323065364	
29   	0.0000000000	0.0027479390	0.0326821938	
30   	0.0000000000	0.0022483138	0.0386927122	
31   	0.0000000000	0.0019985011	0.0353117956	
32   	0.0000000000	0.0049962528	0.0274229902	
33   	0.0000000000	0.0099925056	0.0319308790	
34   	0.0000000000	0.0147389458	0.0394440270	
35   	0.0000000000	0.0147389458	0.0480841473	
36   	0.0000000000	0.0124906320	0.0638617581	
37   	0.0000000000	0.0129902573	0.0597295267	
38   	0.0000000000	0.0144891332	0.0555972953	
39   	0.0000000000	0.0142393205	0.0338091660	
40   	0.0000000000	0.0142393205	0.0240420736	
41   	0.0000000000	0.0122408194	0.0108940646	
42   	0.0000000000	0.0124906320	0.0112697220	
43   	0.0000000000	0.0112415688	0.0011269722	
44   	0.0002955956	0.0129902573	0.0003756574	
45   	0.0000000000	0.0142393205	0.0000000000	
46   	0.0000000000	0.0209842618	0.0000000000	
47   	0.0000000000	0.0224831376	0.0000000000	
48   	0.0000000000	0.0162378216	0.0000000000	
49   	0.0002955956	0.0132400699	0.0000000000	
50   	0.0000000000	0.0167374469	0.0000000000	
51   	0.0000000000	0.0149887584	0.0000000000	
52   	0.0000000000	0.0144891332	0.0000000000	
53   	0.0000000000	0.0134898826	0.0000000000	
54   	0.0000000000	0.0124906320	0.0000000000	
55   	0.0000000000	0.0157381964	0.0000000000	
56   	0.0000000000	0.0174868848	0.0000000000	
57   	0.0000000000	0.0259805146	0.0000000000	
58   	0.0000000000	0.0302273295	0.0000000000	
59   	0.0000000000	0.0304771421	0.0000000000	
60   	0.0000000000	0.0307269548	0.0000000000	
61   	0.0000000000	0.0259805146	0.0000000000	
62   	0.0000000000	0.0182363228	0.0000000000	
63   	0.0000000000	0.0122408194	0.0000000000	
