Value	R           	G           	B           	
1    	0.2838196286	0.3295936176	0.0726577438	
2    	0.0356616564	0.0905011219	0.0493307839	
3    	0.0044208665	0.0099725754	0.0076481836	
4    	0.0011788977	0.0014958863	0.0003824092	
5    	0.0011788977	0.0002493144	0.0000000000	
6    	0.0008841733	0.0002493144	0.0000000000	
7    	0.0005894489	0.0002493144	0.0003824092	
8    	0.0000000000	0.0002493144	0.0003824092	
9    	0.0000000000	0.0000000000	0.0000000000	
10   	0.0000000000	0.0000000000	0.0000000000	
11   	0.0000000000	0.0000000000	0.0000000000	
12   	0.0002947244	0.0002493144	0.0003824092	
13   	0.0000000000	0.0000000000	0.0019120459	
14   	0.0000000000	0.0000000000	0.0076481836	
15   	0.0000000000	0.0000000000	0.0057361377	
16   	0.0000000000	0.0002493144	0.0191204589	
17   	0.0002947244	0.0002493144	0.0336520076	
18   	0.0000000000	0.0000000000	0.0271510516	
19   	0.0000000000	0.0000000000	0.0332695985	
20   	0.0000000000	0.0000000000	0.0340344168	
21   	0.0000000000	0.0000000000	0.0325047801	
22   	0.0000000000	0.0004986288	0.0244741874	
23   	0.0000000000	0.0012465719	0.0248565966	
24   	0.0000000000	0.0019945151	0.0282982792	
25   	0.0002947244	0.0037397158	0.0233269598	
26   	0.0000000000	0.0102218898	0.0382409178	
27   	0.0000000000	0.0064821740	0.0470363289	
28   	0.0000000000	0.0072301172	0.0432122371	
29   	0.0000000000	0.0057342309	0.0504780115	
30   	0.0000000000	0.0082273747	0.0416826004	
31   	0.0000000000	0.0077287459	0.0409177820	
32   	0.0000000000	0.0104712042	0.0577437859	
33   	0.0000000000	0.0094739466	0.0642447419	
34   	0.0002947244	0.0102218898	0.0565965583	
35   	0.0000000000	0.0089753179	0.0611854685	
36   	0.0000000000	0.0084766891	0.0405353728	
37   	0.0000000000	0.0139616056	0.0229445507	
38   	0.0000000000	0.0149588631	0.0053537285	
39   	0.0000000000	0.0127150337	0.0015296367	
40   	0.0000000000	0.0089753179	0.0003824092	
41   	0.0000000000	0.0124657193	0.0003824092	
42   	0.0000000000	0.0152081775	0.0000000000	
43   	0.0000000000	0.0107205186	0.0000000000	
44   	0.0002947244	0.0109698330	0.0000000000	
45   	0.0000000000	0.0167040638	0.0000000000	
46   	0.0000000000	0.0172026926	0.0000000000	
47   	0.0000000000	0.0201944652	0.0000000000	
48   	0.0000000000	0.0206930940	0.0000000000	
49   	0.0000000000	0.0144602344	0.0000000000	
50   	0.0000000000	0.0186985789	0.0000000000	
51   	0.0000000000	0.0196958364	0.0000000000	
52   	0.0000000000	0.0254300673	0.0000000000	
53   	0.0000000000	0.0334081276	0.0000000000	
54   	0.0000000000	0.0281725256	0.0000000000	
55   	0.0000000000	0.0294190975	0.0000000000	
56   	0.0000000000	0.0224382947	0.0000000000	
57   	0.0000000000	0.0226876091	0.0000000000	
58   	0.0000000000	0.0224382947	0.0000000000	
59   	0.0000000000	0.0172026926	0.0000000000	
60   	0.0002947244	0.0137122912	0.0000000000	
61   	0.0000000000	0.0104712042	0.0000000000	
62   	0.0000000000	0.0082273747	0.0000000000	
63   	0.0000000000	0.0024931439	0.0000000000	
64   	0.0002947244	0.0019945151	0.0000000000	
65   	0.0000000000	0.0000000000	0.0000000000	
66   	0.0000000000	0.0000000000	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0000000000	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0000000000	0.0000000000	0.0000000000	
74   	0.0000000000	0.0000000000	0.0000000000	
75   	0.0000000000	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0000000000	0.0000000000	0.0000000000	
78   	0.0000000000	0.0000000000	0.0000000000	
79   	0.0000000000	0.0000000000	0.0000000000	
80   	0.0000000000	0.0000000000	0.0000000000	
81   	0.0000000000	0.0000000000	0.0000000000	
82   	0.0000000000	0.0000000000	0.0000000000	
83   	0.0000000000	0.0000000000	0.0000000000	
84   	0.0002947244	0.0000000000	0.0000000000	
85   	0.0000000000	0.0000000000	0.0000000000	
86   	0.0000000000	0.0000000000	0.0000000000	
87   	0.0002947244	0.0000000000	0.0000000000	
88   	0.0000000000	0.0000000000	0.0000000000	
89   	0.0000000000	0.0000000000	0.0000000000	
90   	0.0000000000	0.0000000000	0.0000000000	
91   	0.0000000000	0.0000000000	0.0000000000	
92   	0.0000000000	0.0000000000	0.0000000000	
93   	0.0000000000	0.0000000000	0.0000000000	
94   	0.0000000000	0.0000000000	0.0000000000	
95   	0.0000000000	0.0000000000	0.0000000000	
96   	0.0000000000	0.0000000000	0.0000000000	
97   	0.0000000000	0.0000000000	0.0000000000	
98   	0.0000000000	0.0000000000	0.0000000000	
99   	0.0000000000	0.0000000000	0.0000000000	
100  	0.0000000000	0.0000000000	0.0000000000	
101  	0.0000000000	0.0000000000	0.0000000000	
