Value	R           	G           	B           	
1    	0.2251993620	0.3752196837	0.0511182109	
2    	0.0398724083	0.1148945518	0.0379392971	
3    	0.0060606061	0.0085676626	0.0015974441	
4    	0.0000000000	0.0002196837	0.0000000000	
5    	0.0006379585	0.0002196837	0.0000000000	
6    	0.0000000000	0.0000000000	0.0000000000	
7    	0.0000000000	0.0000000000	0.0000000000	
8    	0.0000000000	0.0000000000	0.0003993610	
9    	0.0003189793	0.0002196837	0.0000000000	
10   	0.0000000000	0.0000000000	0.0003993610	
11   	0.0000000000	0.0002196837	0.0000000000	
12   	0.0000000000	0.0002196837	0.0000000000	
13   	0.0003189793	0.0000000000	0.0000000000	
14   	0.0000000000	0.0000000000	0.0023961661	
15   	0.0000000000	0.0000000000	0.0027955272	
16   	0.0000000000	0.0000000000	0.0107827476	
17   	0.0000000000	0.0002196837	0.0175718850	
18   	0.0000000000	0.0002196837	0.0159744409	
19   	0.0000000000	0.0000000000	0.0091853035	
20   	0.0000000000	0.0000000000	0.0091853035	
21   	0.0000000000	0.0000000000	0.0103833866	
22   	0.0003189793	0.0000000000	0.0147763578	
23   	0.0000000000	0.0000000000	0.0227635783	
24   	0.0000000000	0.0000000000	0.0343450479	
25   	0.0003189793	0.0000000000	0.0423322684	
26   	0.0000000000	0.0002196837	0.0595047923	
27   	0.0000000000	0.0004393673	0.0758785942	
28   	0.0000000000	0.0002196837	0.0790734824	
29   	0.0000000000	0.0002196837	0.0658945687	
30   	0.0000000000	0.0015377856	0.0802715655	
31   	0.0000000000	0.0002196837	0.0694888179	
32   	0.0000000000	0.0006590510	0.0611022364	
33   	0.0000000000	0.0010984183	0.0483226837	
34   	0.0000000000	0.0013181019	0.0443290735	
35   	0.0000000000	0.0024165202	0.0399361022	
36   	0.0000000000	0.0059314587	0.0335463259	
37   	0.0000000000	0.0125219684	0.0187699681	
38   	0.0000000000	0.0109841828	0.0183706070	
39   	0.0000000000	0.0090070299	0.0131789137	
40   	0.0003189793	0.0125219684	0.0071884984	
41   	0.0000000000	0.0094463972	0.0007987220	
42   	0.0000000000	0.0070298770	0.0000000000	
43   	0.0000000000	0.0072495606	0.0000000000	
44   	0.0000000000	0.0083479789	0.0000000000	
45   	0.0000000000	0.0076889279	0.0000000000	
46   	0.0000000000	0.0116432337	0.0000000000	
47   	0.0000000000	0.0123022847	0.0000000000	
48   	0.0000000000	0.0140597540	0.0000000000	
49   	0.0000000000	0.0123022847	0.0000000000	
50   	0.0000000000	0.0103251318	0.0000000000	
51   	0.0000000000	0.0101054482	0.0000000000	
52   	0.0000000000	0.0147188049	0.0000000000	
53   	0.0000000000	0.0195518453	0.0000000000	
54   	0.0000000000	0.0171353251	0.0000000000	
55   	0.0003189793	0.0134007030	0.0000000000	
56   	0.0000000000	0.0098857645	0.0000000000	
57   	0.0000000000	0.0101054482	0.0000000000	
58   	0.0000000000	0.0123022847	0.0000000000	
59   	0.0000000000	0.0123022847	0.0000000000	
60   	0.0003189793	0.0101054482	0.0000000000	
61   	0.0000000000	0.0105448155	0.0000000000	
62   	0.0000000000	0.0096660808	0.0000000000	
63   	0.0000000000	0.0098857645	0.0000000000	
64   	0.0000000000	0.0184534271	0.0000000000	
65   	0.0000000000	0.0123022847	0.0000000000	
66   	0.0000000000	0.0123022847	0.0000000000	
67   	0.0000000000	0.0149384886	0.0000000000	
68   	0.0000000000	0.0175746924	0.0000000000	
69   	0.0000000000	0.0129613357	0.0000000000	
70   	0.0000000000	0.0120826011	0.0000000000	
71   	0.0000000000	0.0081282953	0.0000000000	
72   	0.0000000000	0.0068101933	0.0000000000	
73   	0.0000000000	0.0087873462	0.0000000000	
74   	0.0000000000	0.0057117750	0.0000000000	
75   	0.0000000000	0.0065905097	0.0000000000	
76   	0.0000000000	0.0070298770	0.0000000000	
77   	0.0000000000	0.0116432337	0.0000000000	
78   	0.0000000000	0.0098857645	0.0000000000	
79   	0.0000000000	0.0050527241	0.0000000000	
