Value	R           	G           	B           	
1    	0.2487908102	0.3582925122	0.0922367410	
2    	0.0519951632	0.0991369256	0.0295926211	
3    	0.0087666264	0.0095637975	0.0030745580	
4    	0.0006045949	0.0006997901	0.0007686395	
5    	0.0003022975	0.0000000000	0.0000000000	
6    	0.0003022975	0.0002332634	0.0003843198	
7    	0.0000000000	0.0002332634	0.0011529593	
8    	0.0003022975	0.0004665267	0.0019215988	
9    	0.0000000000	0.0000000000	0.0030745580	
10   	0.0000000000	0.0000000000	0.0092236741	
11   	0.0003022975	0.0002332634	0.0165257494	
12   	0.0000000000	0.0000000000	0.0303612606	
13   	0.0000000000	0.0000000000	0.0703305150	
14   	0.0000000000	0.0000000000	0.1045349731	
15   	0.0000000000	0.0000000000	0.1629515757	
16   	0.0000000000	0.0002332634	0.1625672560	
17   	0.0000000000	0.0000000000	0.1487317448	
18   	0.0000000000	0.0002332634	0.0883935434	
19   	0.0000000000	0.0000000000	0.0415065334	
20   	0.0000000000	0.0000000000	0.0192159877	
21   	0.0003022975	0.0000000000	0.0073020753	
22   	0.0000000000	0.0000000000	0.0026902383	
23   	0.0000000000	0.0002332634	0.0023059185	
24   	0.0003022975	0.0000000000	0.0003843198	
25   	0.0000000000	0.0002332634	0.0000000000	
26   	0.0000000000	0.0000000000	0.0000000000	
27   	0.0000000000	0.0000000000	0.0000000000	
28   	0.0000000000	0.0000000000	0.0003843198	
29   	0.0000000000	0.0002332634	0.0000000000	
30   	0.0000000000	0.0020993702	0.0000000000	
31   	0.0000000000	0.0006997901	0.0000000000	
32   	0.0000000000	0.0009330534	0.0000000000	
33   	0.0000000000	0.0018661068	0.0000000000	
34   	0.0000000000	0.0030324236	0.0000000000	
35   	0.0000000000	0.0083974808	0.0000000000	
36   	0.0003022975	0.0079309540	0.0000000000	
37   	0.0000000000	0.0088640075	0.0000000000	
38   	0.0000000000	0.0088640075	0.0000000000	
39   	0.0000000000	0.0065313739	0.0000000000	
40   	0.0000000000	0.0041987404	0.0000000000	
41   	0.0000000000	0.0051317938	0.0000000000	
42   	0.0003022975	0.0076976907	0.0000000000	
43   	0.0000000000	0.0121296944	0.0000000000	
44   	0.0000000000	0.0156286447	0.0000000000	
45   	0.0000000000	0.0198273851	0.0000000000	
46   	0.0000000000	0.0359225566	0.0000000000	
47   	0.0000000000	0.0354560299	0.0000000000	
48   	0.0000000000	0.0345229764	0.0000000000	
49   	0.0000000000	0.0356892932	0.0000000000	
50   	0.0000000000	0.0324236063	0.0000000000	
51   	0.0003022975	0.0265920224	0.0000000000	
52   	0.0000000000	0.0258922323	0.0000000000	
53   	0.0000000000	0.0226265454	0.0000000000	
54   	0.0000000000	0.0289246559	0.0000000000	
55   	0.0000000000	0.0307907628	0.0000000000	
56   	0.0000000000	0.0270585491	0.0000000000	
57   	0.0000000000	0.0240261255	0.0000000000	
58   	0.0000000000	0.0186610683	0.0000000000	
59   	0.0000000000	0.0170282249	0.0000000000	
60   	0.0000000000	0.0095637975	0.0000000000	
61   	0.0000000000	0.0044320037	0.0000000000	
62   	0.0000000000	0.0044320037	0.0000000000	
63   	0.0000000000	0.0009330534	0.0000000000	
64   	0.0000000000	0.0009330534	0.0000000000	
65   	0.0000000000	0.0000000000	0.0000000000	
66   	0.0006045949	0.0000000000	0.0000000000	
67   	0.0000000000	0.0000000000	0.0000000000	
68   	0.0000000000	0.0000000000	0.0000000000	
69   	0.0000000000	0.0000000000	0.0000000000	
70   	0.0000000000	0.0000000000	0.0000000000	
71   	0.0000000000	0.0000000000	0.0000000000	
72   	0.0000000000	0.0000000000	0.0000000000	
73   	0.0000000000	0.0000000000	0.0000000000	
74   	0.0003022975	0.0000000000	0.0000000000	
75   	0.0000000000	0.0000000000	0.0000000000	
76   	0.0000000000	0.0000000000	0.0000000000	
77   	0.0009068924	0.0000000000	0.0000000000	
78   	0.0006045949	0.0000000000	0.0000000000	
79   	0.0009068924	0.0000000000	0.0000000000	
80   	0.0012091898	0.0000000000	0.0000000000	
81   	0.0003022975	0.0000000000	0.0000000000	
82   	0.0012091898	0.0000000000	0.0000000000	
83   	0.0024183797	0.0000000000	0.0000000000	
84   	0.0033252721	0.0000000000	0.0000000000	
85   	0.0045344619	0.0000000000	0.0000000000	
86   	0.0042321644	0.0000000000	0.0000000000	
87   	0.0027206771	0.0000000000	0.0000000000	
88   	0.0021160822	0.0000000000	0.0000000000	
89   	0.0015114873	0.0000000000	0.0000000000	
90   	0.0018137848	0.0000000000	0.0000000000	
91   	0.0009068924	0.0000000000	0.0000000000	
92   	0.0015114873	0.0000000000	0.0000000000	
93   	0.0027206771	0.0000000000	0.0000000000	
94   	0.0009068924	0.0000000000	0.0000000000	
95   	0.0021160822	0.0000000000	0.0000000000	
96   	0.0015114873	0.0000000000	0.0000000000	
97   	0.0015114873	0.0000000000	0.0000000000	
98   	0.0012091898	0.0000000000	0.0000000000	
99   	0.0006045949	0.0000000000	0.0000000000	
100  	0.0015114873	0.0000000000	0.0000000000	
101  	0.0018137848	0.0000000000	0.0000000000	
102  	0.0015114873	0.0000000000	0.0000000000	
103  	0.0033252721	0.0000000000	0.0000000000	
104  	0.0003022975	0.0000000000	0.0000000000	
105  	0.0015114873	0.0000000000	0.0000000000	
106  	0.0018137848	0.0000000000	0.0000000000	
107  	0.0012091898	0.0000000000	0.0000000000	
108  	0.0042321644	0.0000000000	0.0000000000	
109  	0.0033252721	0.0000000000	0.0000000000	
110  	0.0027206771	0.0000000000	0.0000000000	
111  	0.0006045949	0.0000000000	0.0000000000	
112  	0.0018137848	0.0000000000	0.0000000000	
113  	0.0060459492	0.0000000000	0.0000000000	
114  	0.0057436518	0.0000000000	0.0000000000	
115  	0.0057436518	0.0000000000	0.0000000000	
116  	0.0072551391	0.0000000000	0.0000000000	
117  	0.0060459492	0.0000000000	0.0000000000	
118  	0.0081620314	0.0000000000	0.0000000000	
119  	0.0081620314	0.0000000000	0.0000000000	
120  	0.0036275695	0.0000000000	0.0000000000	
121  	0.0036275695	0.0000000000	0.0000000000	
122  	0.0036275695	0.0000000000	0.0000000000	
123  	0.0024183797	0.0000000000	0.0000000000	
124  	0.0024183797	0.0000000000	0.0000000000	
125  	0.0015114873	0.0000000000	0.0000000000	
126  	0.0036275695	0.0000000000	0.0000000000	
127  	0.0024183797	0.0000000000	0.0000000000	
128  	0.0021160822	0.0000000000	0.0000000000	
129  	0.0039298670	0.0000000000	0.0000000000	
130  	0.0069528416	0.0000000000	0.0000000000	
131  	0.0078597340	0.0000000000	0.0000000000	
132  	0.0087666264	0.0000000000	0.0000000000	
133  	0.0072551391	0.0000000000	0.0000000000	
134  	0.0057436518	0.0000000000	0.0000000000	
135  	0.0066505441	0.0000000000	0.0000000000	
136  	0.0015114873	0.0000000000	0.0000000000	
137  	0.0024183797	0.0000000000	0.0000000000	
138  	0.0048367594	0.0000000000	0.0000000000	
139  	0.0117896010	0.0000000000	0.0000000000	
140  	0.0096735187	0.0000000000	0.0000000000	
141  	0.0151148730	0.0000000000	0.0000000000	
142  	0.0111850060	0.0000000000	0.0000000000	
143  	0.0102781137	0.0000000000	0.0000000000	
144  	0.0190447400	0.0000000000	0.0000000000	
145  	0.0154171705	0.0000000000	0.0000000000	
146  	0.0114873035	0.0000000000	0.0000000000	
147  	0.0133010883	0.0000000000	0.0000000000	
148  	0.0084643289	0.0000000000	0.0000000000	
149  	0.0163240629	0.0000000000	0.0000000000	
150  	0.0151148730	0.0000000000	0.0000000000	
151  	0.0187424426	0.0000000000	0.0000000000	
152  	0.0181378476	0.0000000000	0.0000000000	
153  	0.0226723096	0.0000000000	0.0000000000	
154  	0.0199516324	0.0000000000	0.0000000000	
155  	0.0151148730	0.0000000000	0.0000000000	
156  	0.0154171705	0.0000000000	0.0000000000	
157  	0.0214631197	0.0000000000	0.0000000000	
158  	0.0172309553	0.0000000000	0.0000000000	
159  	0.0142079807	0.0000000000	0.0000000000	
160  	0.0184401451	0.0000000000	0.0000000000	
161  	0.0211608222	0.0000000000	0.0000000000	
162  	0.0175332527	0.0000000000	0.0000000000	
163  	0.0187424426	0.0000000000	0.0000000000	
164  	0.0111850060	0.0000000000	0.0000000000	
165  	0.0151148730	0.0000000000	0.0000000000	
166  	0.0084643289	0.0000000000	0.0000000000	
167  	0.0081620314	0.0000000000	0.0000000000	
168  	0.0090689238	0.0000000000	0.0000000000	
169  	0.0084643289	0.0000000000	0.0000000000	
170  	0.0075574365	0.0000000000	0.0000000000	
171  	0.0054413543	0.0000000000	0.0000000000	
172  	0.0060459492	0.0000000000	0.0000000000	
173  	0.0057436518	0.0000000000	0.0000000000	
174  	0.0027206771	0.0000000000	0.0000000000	
175  	0.0024183797	0.0000000000	0.0000000000	
176  	0.0030229746	0.0000000000	0.0000000000	
177  	0.0009068924	0.0000000000	0.0000000000	
178  	0.0006045949	0.0000000000	0.0000000000	
179  	0.0000000000	0.0000000000	0.0000000000	
180  	0.0000000000	0.0000000000	0.0000000000	
181  	0.0000000000	0.0000000000	0.0000000000	
182  	0.0000000000	0.0000000000	0.0000000000	
183  	0.0000000000	0.0000000000	0.0000000000	
184  	0.0000000000	0.0000000000	0.0000000000	
185  	0.0000000000	0.0000000000	0.0000000000	
186  	0.0000000000	0.0000000000	0.0000000000	
187  	0.0000000000	0.0000000000	0.0000000000	
188  	0.0000000000	0.0000000000	0.0000000000	
189  	0.0000000000	0.0000000000	0.0000000000	
190  	0.0000000000	0.0000000000	0.0000000000	
191  	0.0000000000	0.0000000000	0.0000000000	
192  	0.0000000000	0.0000000000	0.0000000000	
193  	0.0000000000	0.0000000000	0.0000000000	
194  	0.0000000000	0.0000000000	0.0000000000	
195  	0.0000000000	0.0000000000	0.0000000000	
196  	0.0000000000	0.0000000000	0.0000000000	
197  	0.0000000000	0.0000000000	0.0000000000	
198  	0.0000000000	0.0000000000	0.0000000000	
199  	0.0000000000	0.0000000000	0.0000000000	
200  	0.0000000000	0.0000000000	0.0000000000	
201  	0.0000000000	0.0000000000	0.0000000000	
202  	0.0000000000	0.0000000000	0.0000000000	
203  	0.0000000000	0.0000000000	0.0000000000	
204  	0.0000000000	0.0000000000	0.0000000000	
205  	0.0000000000	0.0000000000	0.0000000000	
206  	0.0000000000	0.0000000000	0.0000000000	
207  	0.0000000000	0.0000000000	0.0000000000	
208  	0.0000000000	0.0000000000	0.0000000000	
209  	0.0000000000	0.0000000000	0.0000000000	
210  	0.0000000000	0.0000000000	0.0000000000	
211  	0.0000000000	0.0000000000	0.0000000000	
212  	0.0000000000	0.0000000000	0.0000000000	
213  	0.0000000000	0.0000000000	0.0000000000	
214  	0.0000000000	0.0000000000	0.0000000000	
215  	0.0000000000	0.0000000000	0.0000000000	
216  	0.0000000000	0.0000000000	0.0000000000	
217  	0.0000000000	0.0000000000	0.0000000000	
218  	0.0000000000	0.0000000000	0.0000000000	
219  	0.0000000000	0.0000000000	0.0000000000	
220  	0.0000000000	0.0000000000	0.0000000000	
221  	0.0000000000	0.0000000000	0.0000000000	
222  	0.0000000000	0.0000000000	0.0000000000	
223  	0.0000000000	0.0000000000	0.0000000000	
224  	0.0000000000	0.0000000000	0.0000000000	
225  	0.0000000000	0.0000000000	0.0000000000	
226  	0.0000000000	0.0000000000	0.0000000000	
227  	0.0000000000	0.0000000000	0.0000000000	
228  	0.0000000000	0.0000000000	0.0000000000	
229  	0.0000000000	0.0000000000	0.0000000000	
230  	0.0000000000	0.0000000000	0.0000000000	
231  	0.0000000000	0.0000000000	0.0000000000	
232  	0.0000000000	0.0000000000	0.0000000000	
233  	0.0000000000	0.0000000000	0.0000000000	
234  	0.0000000000	0.0000000000	0.0000000000	
235  	0.0000000000	0.0000000000	0.0000000000	
236  	0.0000000000	0.0000000000	0.0000000000	
237  	0.0000000000	0.0000000000	0.0000000000	
238  	0.0000000000	0.0000000000	0.0000000000	
239  	0.0000000000	0.0000000000	0.0000000000	
240  	0.0000000000	0.0000000000	0.0000000000	
241  	0.0000000000	0.0000000000	0.0000000000	
242  	0.0000000000	0.0000000000	0.0000000000	
243  	0.0000000000	0.0000000000	0.0000000000	
244  	0.0000000000	0.0000000000	0.0000000000	
245  	0.0000000000	0.0000000000	0.0000000000	
246  	0.0000000000	0.0000000000	0.0000000000	
247  	0.0000000000	0.0000000000	0.0000000000	
248  	0.0000000000	0.0000000000	0.0000000000	
249  	0.0000000000	0.0000000000	0.0000000000	
250  	0.0000000000	0.0000000000	0.0000000000	
251  	0.0000000000	0.0000000000	0.0000000000	
252  	0.0000000000	0.0000000000	0.0000000000	
253  	0.0000000000	0.0000000000	0.0000000000	
254  	0.0000000000	0.0000000000	0.0000000000	
255  	0.0000000000	0.0000000000	0.0000000000	
